Match_ID,Kills,Damage,Win,Top10,Headshot%,LongestKill,Revives,Knocked
75,0,738,0,1,15.7,141,0,0
76,2,783,1,0,26.7,459,0,2
77,4,896,1,0,21.9,226,0,0
78,1,853,0,0,46.8,69,0,2
79,5,676,0,0,41.9,314,0,2
80,3,332,0,1,45.4,227,1,0
81,0,974,0,1,14.1,149,1,1
82,4,991,0,0,25.3,202,0,2
83,1,990,0,1,43.9,417,1,0
84,6,1376,1,1,17.0,189,0,1
85,3,515,1,1,41.2,71,0,1
86,1,1288,0,1,44.9,236,0,2
87,1,1523,0,0,21.0,58,0,1
88,0,1340,0,0,48.7,165,0,0
89,3,812,0,0,43.5,115,1,1
90,2,1013,0,1,16.7,183,1,1
91,4,707,0,1,33.0,230,0,2
92,5,730,0,1,19.2,358,0,0
93,1,1330,0,1,28.5,296,0,1
94,0,1074,1,1,30.4,116,0,1
95,5,1089,0,0,36.8,128,0,3
96,5,619,0,0,34.6,330,0,1
97,1,531,0,0,24.2,172,0,1
98,0,1163,0,1,31.3,416,0,0
99,2,1005,0,1,13.1,428,0,1
100,2,825,0,1,32.4,242,1,4
101,2,1334,0,0,49.1,463,1,1
102,6,1048,0,1,32.6,232,1,2
103,6,687,0,0,44.8,104,0,1
104,5,415,0,0,44.8,401,0,0
105,5,1049,0,0,48.2,388,0,2
106,0,782,0,1,12.7,177,0,1
107,2,865,1,0,35.7,158,0,0
108,5,844,0,0,46.7,158,0,1
109,5,1257,0,1,41.6,143,0,1
110,1,1110,1,1,27.9,117,0,0
111,4,875,0,1,20.8,158,0,2
112,3,869,0,1,23.8,274,0,0
113,2,972,0,0,14.9,344,0,3
114,2,1229,0,1,18.4,177,1,1
115,2,920,0,0,38.5,268,0,2
116,6,756,0,1,16.9,176,0,0
117,4,598,0,0,43.3,282,1,1
118,1,878,0,0,20.2,208,0,0
119,1,600,0,1,26.3,464,0,1
120,1,985,0,1,22.0,177,0,2
121,5,1013,1,0,23.1,106,0,0
122,3,1197,0,0,42.5,437,0,2
123,1,847,0,1,38.9,170,0,1
124,3,1158,0,1,25.5,339,0,1
125,6,1302,1,1,24.4,104,0,1
126,2,918,0,1,36.8,199,0,0
127,5,1458,0,0,37.6,234,0,0
128,2,1259,0,0,11.8,249,0,0
129,1,780,0,0,18.6,336,0,1
130,7,1636,0,1,33.3,361,1,4
131,8,883,0,1,33.5,72,1,0
132,0,1249,0,1,17.7,184,0,1
133,3,1057,0,0,12.6,79,0,2
134,6,975,0,1,49.2,262,0,1
135,1,1227,1,1,15.1,72,1,1
136,9,937,0,0,44.9,306,1,0
137,3,880,0,0,24.0,179,1,0
138,3,888,0,1,44.1,226,0,1
139,6,614,0,1,35.0,421,0,0
140,2,1166,0,0,12.0,436,1,0
141,0,735,1,1,46.5,296,1,2
142,4,952,0,1,40.8,312,1,0
143,0,905,1,0,28.6,340,0,0
144,3,1051,0,1,33.8,449,0,0
145,5,896,0,1,23.1,123,0,0
146,5,832,0,0,15.8,223,0,1
147,4,1003,1,1,12.3,152,1,1
148,1,982,0,1,31.6,149,0,2
149,1,634,1,0,17.2,269,0,1
150,1,872,0,0,24.2,338,0,2
151,2,1217,0,0,22.1,304,1,1
152,3,1514,0,1,25.0,460,0,1
153,1,473,0,0,16.8,184,0,0
154,1,1106,0,1,41.3,103,0,1
155,1,926,0,1,39.4,332,0,0
156,2,752,0,0,42.8,98,0,0
157,3,793,0,1,29.5,192,1,2
158,2,665,1,1,38.1,59,0,0
159,2,559,1,1,15.4,313,0,0
160,3,996,0,0,33.6,265,0,1
161,2,1345,0,1,47.4,134,0,0
162,4,988,1,1,22.3,176,0,0
163,4,942,0,1,34.5,105,0,1
164,1,744,0,0,18.8,116,1,2
165,2,667,0,0,21.9,350,2,1
166,1,905,0,0,48.1,419,0,1
167,2,642,0,1,13.6,210,0,1
168,3,1180,0,1,40.8,245,0,0
169,2,755,0,1,45.0,464,0,3
170,4,689,1,0,33.9,344,0,1
171,3,1462,0,1,10.7,164,1,1
172,4,1224,1,0,40.3,160,0,1
173,1,601,0,0,26.0,246,0,1
174,1,679,0,0,40.7,251,1,0
175,1,851,1,1,15.1,386,0,4
176,2,859,0,1,34.7,386,0,0
177,2,785,0,0,24.9,111,0,2
178,5,1234,1,1,10.5,194,1,0
179,5,952,1,1,31.2,175,0,1
180,2,890,0,0,33.7,468,0,2
181,2,747,0,0,47.0,379,0,0
182,3,637,0,0,46.9,201,0,1
183,2,743,0,1,38.0,400,0,1
184,1,681,0,0,25.1,280,0,2
185,2,585,1,1,11.2,424,0,0
186,5,1169,0,0,38.7,257,1,1
187,5,1132,0,1,25.9,348,0,2
188,3,806,0,0,22.3,175,0,1
189,4,1229,1,0,23.7,456,0,0
190,1,1047,0,1,13.1,324,0,0
191,3,629,0,0,17.6,248,0,1
192,4,535,0,0,38.4,274,0,0
193,3,976,1,1,24.0,304,0,2
194,3,1019,1,1,12.1,442,0,0
195,3,576,1,1,21.9,109,0,2
196,3,768,0,1,45.4,314,0,0
197,5,1113,0,1,45.8,258,2,0
198,3,1292,1,0,40.2,121,1,1
199,5,921,0,1,13.5,332,0,0
200,2,914,0,0,46.9,78,0,3
201,2,787,0,0,45.6,264,0,3
202,5,1271,0,1,15.6,166,2,1
203,3,1038,0,0,26.6,226,0,2
204,3,689,0,0,30.6,454,0,0
205,3,1095,0,1,10.1,420,0,2
206,6,724,0,0,21.7,158,0,0
207,6,662,0,1,21.1,265,0,3
208,3,788,0,0,31.4,180,1,1
209,5,684,1,1,10.3,382,0,0
210,2,673,1,0,28.0,243,1,1
211,4,550,1,1,23.2,195,0,4
212,3,725,0,1,32.3,407,2,0
213,2,766,0,0,24.9,355,0,2
214,4,562,0,1,17.0,213,0,0
215,1,1035,0,1,40.6,433,0,1
216,3,458,0,0,14.3,442,0,0
217,1,804,0,0,32.6,388,0,2
218,3,1065,0,0,16.4,254,0,1
219,3,1183,0,1,42.0,406,0,0
220,1,756,0,0,28.9,92,0,0
221,2,1153,0,1,37.8,120,0,1
222,4,808,0,0,20.4,153,0,2
223,2,1463,0,1,13.3,124,0,0
224,5,535,0,0,24.1,268,0,2
225,0,648,0,1,27.1,290,0,2
226,3,940,0,1,40.3,376,1,0
227,2,584,0,1,20.8,238,0,2
228,0,722,0,0,46.6,255,0,1
229,2,1013,0,0,46.9,424,1,0
230,2,947,0,0,23.6,436,1,2
231,4,891,0,0,19.2,215,0,1
232,2,893,0,0,40.6,363,0,1
233,1,284,0,1,29.1,150,1,1
234,1,937,0,1,29.8,199,0,1
235,0,740,0,1,41.6,317,0,1
236,2,807,0,1,27.2,318,1,1
237,4,502,0,0,30.0,216,0,0
238,3,1068,0,1,41.0,398,0,1
239,5,1037,0,1,19.2,188,0,0
240,5,608,0,1,46.9,251,1,0
241,3,944,0,0,34.7,438,0,0
242,4,1311,0,0,36.3,237,1,1
243,1,935,0,0,48.3,448,0,0
244,3,396,0,1,12.8,84,0,1
245,4,757,0,1,19.3,255,0,1
246,4,931,1,1,35.4,372,0,1
247,3,1429,1,0,15.1,395,0,0
248,2,597,0,1,25.9,119,0,0
249,2,863,0,1,34.3,97,0,2
250,3,633,0,1,16.0,436,0,3
251,3,1119,0,0,24.8,197,0,0
252,4,808,1,0,31.4,97,0,1
253,0,217,0,1,39.7,373,0,1
254,2,801,0,1,11.8,317,0,2
255,4,871,0,1,16.9,335,0,0
256,2,996,0,1,24.3,466,0,0
257,4,945,1,1,12.5,122,0,1
258,3,1064,0,1,30.4,58,0,1
259,2,869,0,0,43.4,255,0,0
260,3,921,0,0,33.3,67,0,1
261,7,903,0,1,47.1,71,0,1
262,3,796,0,1,31.5,408,0,1
263,5,1042,0,1,31.5,141,0,0
264,8,1111,0,1,42.9,368,0,3
265,1,889,0,0,48.4,316,2,1
266,2,777,0,0,45.8,426,0,2
267,2,629,0,0,16.6,385,0,1
268,1,988,1,1,49.8,274,0,0
269,3,649,0,0,24.2,111,1,1
270,4,939,0,1,23.3,346,0,3
271,1,932,0,0,38.8,416,1,3
272,7,1166,1,1,29.5,179,1,0
273,6,1246,0,0,13.5,209,1,2
274,2,140,1,1,43.4,119,1,2
275,2,849,0,0,44.6,410,0,1
276,1,374,0,1,43.8,463,1,1
277,0,1190,0,0,31.9,315,0,1
278,4,894,0,0,21.8,249,2,3
279,3,1187,1,1,44.2,125,0,0
280,4,964,0,1,45.9,67,0,0
281,5,562,0,1,46.7,235,0,2
282,1,658,0,1,37.0,343,0,0
283,1,866,0,0,31.4,98,0,0
284,2,1042,0,1,10.1,96,0,1
285,6,914,1,1,15.0,377,0,1
286,3,944,1,0,29.5,469,0,1
287,3,810,0,1,39.0,143,0,0
288,2,1182,0,0,12.0,239,0,1
289,6,936,0,1,31.6,460,0,0
290,1,912,0,0,28.3,133,0,0
291,3,973,0,1,15.7,164,0,1
292,1,796,0,1,26.7,183,0,1
293,2,812,0,1,24.2,141,1,2
294,4,1020,1,1,42.7,161,0,1
295,5,1094,0,1,17.8,82,1,0
296,8,1120,0,1,49.4,427,0,2
297,2,851,1,1,46.1,87,1,0
298,2,930,1,1,39.3,398,0,0
299,4,748,0,1,42.0,91,0,0
300,0,1096,0,0,13.9,307,0,1
301,4,663,1,0,40.8,280,0,2
302,3,955,1,1,18.0,285,1,1
303,6,1119,0,1,45.4,459,0,3
304,2,931,1,0,25.9,416,0,3
305,2,975,0,1,37.5,52,0,3
306,3,831,0,0,40.9,365,0,3
307,6,436,1,1,30.4,131,0,0
308,0,731,0,1,26.9,250,0,0
309,4,911,0,0,26.8,216,0,0
310,4,727,0,1,44.8,132,0,0
311,3,1021,0,1,49.0,336,0,1
312,4,533,0,1,38.2,466,0,1
313,4,415,0,0,28.6,120,0,0
314,4,1073,0,1,19.4,50,0,0
315,1,822,0,0,30.3,395,1,1
316,5,986,0,0,15.4,360,1,0
317,6,769,0,0,45.4,269,0,0
318,0,1041,0,1,43.3,53,0,0
319,4,1239,0,0,41.1,210,0,0
320,2,1257,0,1,14.8,107,0,0
321,2,738,0,1,30.9,116,0,4
322,3,794,0,1,28.1,272,2,1
323,1,942,0,0,19.2,213,0,3
324,1,1367,0,0,36.5,176,2,0
325,5,611,1,1,46.4,167,0,1
326,0,613,0,0,32.9,320,1,1
327,2,1117,1,0,46.7,224,1,0
328,3,733,1,1,43.8,380,0,0
329,2,1064,0,0,26.7,295,0,2
330,2,753,1,1,12.0,204,0,2
331,1,988,0,1,28.2,262,1,1
332,1,772,0,1,28.3,113,0,1
333,3,648,1,1,25.1,99,0,1
334,1,936,0,0,18.9,344,0,3
335,2,596,0,1,29.7,452,0,0
336,0,1014,0,0,40.3,458,0,2
337,1,841,0,0,30.5,426,0,0
338,7,559,0,0,23.4,130,0,2
339,6,974,0,0,15.2,219,0,1
340,1,969,0,0,36.9,258,0,0
341,1,311,0,0,44.6,73,1,4
342,4,887,0,1,30.2,301,0,1
343,5,902,0,0,15.3,91,0,0
344,5,923,0,0,19.2,436,0,0
345,0,445,0,0,38.4,304,0,1
346,5,988,0,1,15.4,248,0,1
347,3,1028,0,0,30.4,235,1,0
348,7,665,0,0,11.2,350,0,3
349,3,550,0,0,21.9,402,0,2
350,3,655,0,0,17.1,115,0,2
351,3,932,0,1,27.4,365,1,1
352,4,590,0,1,36.3,356,0,0
353,4,561,0,1,25.0,206,1,1
354,3,1424,0,0,36.7,119,0,3
355,3,898,0,1,29.0,218,0,1
356,3,822,1,0,40.6,57,2,2
357,2,732,1,1,15.5,271,0,1
358,4,794,1,1,35.6,413,0,0
359,1,1350,0,1,45.0,462,0,4
360,0,1104,1,0,46.2,427,0,0
361,7,1496,0,1,46.1,191,0,2
362,1,997,0,1,46.6,198,1,1
363,1,660,0,1,45.5,71,0,1
364,1,967,0,0,41.1,294,0,0
365,3,1037,0,0,17.9,352,0,0
366,1,1053,0,0,30.1,198,0,1
367,3,789,0,0,20.9,79,1,0
368,6,1350,1,1,23.7,105,0,1
369,1,582,1,0,45.6,370,2,4
370,2,984,0,1,48.2,409,0,2
371,3,826,0,1,14.4,192,0,1
372,3,705,0,1,29.2,463,0,1
373,7,961,1,1,23.1,90,0,2
374,5,1214,0,1,23.0,415,0,2
375,2,1000,0,1,33.1,201,1,1
376,1,968,1,1,28.9,151,1,1
377,7,395,0,1,49.9,199,0,0
378,5,1130,1,0,38.2,372,0,1
379,3,798,0,1,49.1,327,0,0
380,2,1033,0,1,14.5,267,1,2
381,3,1130,0,0,32.9,207,0,2
382,2,948,0,1,48.9,260,0,6
383,4,399,0,0,23.2,399,0,3
384,3,1254,0,1,30.9,260,0,2
385,3,1351,0,0,39.7,351,1,2
386,6,1103,0,1,41.0,169,0,0
387,1,718,0,1,44.5,67,1,0
388,4,1207,0,1,39.8,390,0,0
389,2,829,0,0,49.2,234,0,1
390,2,883,1,0,39.7,271,0,2
391,3,1199,0,0,12.3,84,0,0
392,3,1061,0,0,39.1,400,0,0
393,1,311,0,1,24.7,334,0,1
394,3,951,0,1,30.1,332,0,0
395,2,1196,0,1,27.4,115,0,0
396,4,559,0,1,32.9,295,0,0
397,6,1144,1,0,45.6,170,0,0
398,5,482,0,1,17.1,116,0,2
399,5,846,0,1,41.5,308,0,0
400,3,1035,0,1,48.4,315,0,1
401,3,836,0,1,37.2,121,0,0
402,0,1194,0,1,39.6,405,0,0
403,3,546,0,0,25.4,406,0,0
404,4,1103,0,0,30.4,240,0,0
405,6,913,0,1,39.5,201,0,4
406,2,686,0,1,31.5,110,0,1
407,1,1009,0,0,11.2,76,2,2
408,2,882,1,1,35.1,381,0,0
409,2,1269,0,1,48.2,168,1,2
410,1,1045,0,0,38.4,319,0,2
411,2,1003,0,1,45.7,294,0,2
412,5,731,0,1,18.5,386,0,1
413,6,936,0,1,30.5,261,1,0
414,4,756,0,0,27.4,132,1,1
415,2,884,0,1,35.6,372,0,1
416,5,1211,0,1,15.8,417,0,0
417,4,828,0,0,27.5,468,4,2
418,3,538,1,0,37.8,352,0,0
419,4,1023,0,0,31.1,312,0,0
420,0,1096,0,0,15.0,254,0,0
421,2,1297,0,0,31.5,232,0,0
422,2,1116,0,1,39.4,301,1,1
423,3,832,0,0,36.6,118,0,0
424,5,965,0,0,41.5,69,1,0
425,3,997,1,1,23.9,52,0,1
426,5,1008,0,1,41.2,248,0,1
427,2,281,0,0,34.0,178,0,3
428,4,756,0,0,39.6,71,0,1
429,5,1019,0,1,28.2,398,0,2
430,2,1174,0,1,17.8,386,1,0
431,1,741,0,1,49.6,213,1,0
432,0,796,0,0,42.4,296,0,1
433,4,840,1,0,40.5,192,2,1
434,3,866,0,1,46.8,383,0,0
435,4,1113,0,1,49.0,351,0,1
436,1,715,0,0,24.9,74,1,0
437,1,1116,0,1,13.5,123,0,0
438,2,1254,1,0,37.9,469,1,1
439,2,801,0,1,44.5,283,0,3
440,1,792,1,1,37.7,196,0,0
441,2,939,0,0,32.2,354,1,1
442,5,753,0,1,31.8,259,0,1
443,2,878,0,1,15.6,428,1,0
444,3,532,0,1,18.5,255,1,2
445,4,1113,0,1,16.7,92,1,1
446,2,1315,0,1,26.3,83,0,0
447,2,731,0,0,31.1,104,0,0
448,2,488,1,1,30.1,127,0,1
449,5,1130,0,0,21.4,323,0,1
450,3,795,0,1,17.7,155,1,1
451,2,733,0,0,33.9,94,1,0
452,4,869,0,0,23.1,137,0,2
453,7,594,1,1,13.7,187,1,1
454,1,1020,0,0,33.9,138,1,0
455,7,583,0,1,41.6,325,0,1
456,3,603,0,0,12.3,432,0,1
457,1,600,1,1,23.4,253,0,0
458,2,940,0,1,17.8,137,0,2
459,1,446,0,0,37.8,162,0,1
460,4,1422,1,1,45.3,360,1,0
461,3,806,0,1,17.2,200,1,2
462,2,370,0,1,47.1,108,1,1
463,1,634,0,1,21.3,84,1,0
464,2,1049,0,1,17.7,189,0,0
465,3,1237,0,0,49.0,54,1,2
466,3,940,0,1,41.1,233,0,0
467,1,921,0,0,24.2,105,1,1
468,7,517,0,0,32.9,189,0,1
469,2,1272,0,0,31.8,224,0,1
470,3,1038,0,0,15.5,390,0,2
471,4,980,0,0,47.6,366,1,2
472,3,904,0,1,32.8,234,1,2
473,6,1032,0,0,39.4,95,0,2
474,5,699,0,0,41.9,191,0,1
475,2,1134,0,1,32.7,193,1,0
476,1,1100,0,0,23.6,422,2,3
477,5,875,0,0,31.6,280,1,1
478,3,831,0,1,49.1,105,0,2
479,5,360,0,0,42.1,163,0,0
480,1,466,1,0,50.0,128,1,1
481,3,1036,1,0,15.6,85,1,1
482,3,1126,0,1,14.0,219,1,0
483,3,1167,0,1,38.3,399,0,3
484,2,563,0,0,36.6,258,0,2
485,1,1473,0,0,22.7,331,0,0
486,4,1150,0,1,27.4,329,2,2
487,1,756,0,0,17.3,424,0,2
488,7,940,0,1,25.0,186,0,1
489,2,475,0,1,47.2,58,0,0
490,3,745,1,1,24.5,390,0,2
491,3,1034,0,1,18.3,469,1,0
492,6,915,0,1,20.6,269,0,2
493,2,1335,0,1,30.1,445,0,0
494,1,530,0,0,29.0,95,0,0
495,5,870,0,1,13.8,132,1,0
496,2,615,0,1,14.4,293,0,0
497,6,1283,0,0,19.6,369,0,0
498,3,966,0,1,39.3,277,0,1
499,4,902,1,0,28.0,214,0,0
500,2,866,1,0,14.8,427,0,0
501,0,680,0,0,37.3,224,0,1
502,3,1199,0,1,10.5,186,1,3
503,5,942,0,0,33.8,250,1,1
504,3,961,0,0,23.8,426,1,2
505,2,1045,0,1,11.9,247,0,0
506,3,684,0,1,14.9,156,1,0
507,3,1398,1,0,39.9,127,1,4
508,2,1292,0,1,19.9,415,0,2
509,2,891,0,1,20.9,284,1,0
510,3,824,0,0,29.5,430,0,0
511,2,1059,0,1,16.2,347,0,2
512,1,1180,0,0,48.8,321,0,0
513,2,1337,0,1,25.2,430,0,3
514,4,1061,0,1,27.8,294,0,0
515,4,934,1,1,12.9,175,0,1
516,4,934,0,0,32.3,269,1,2
517,3,429,1,1,41.9,161,0,0
518,3,792,0,1,26.9,201,0,0
519,1,990,1,1,16.6,51,0,1
520,4,335,0,0,11.0,401,2,1
521,2,944,0,1,23.9,389,0,1
522,2,696,0,0,44.4,126,1,0
523,2,1294,0,1,14.0,461,0,2
524,6,828,1,1,48.2,56,0,0
525,1,834,0,1,45.0,466,0,1
526,2,865,0,1,11.7,51,0,2
527,2,898,0,0,13.3,99,0,1
528,2,1098,0,0,27.8,367,0,1
529,5,813,0,0,13.2,300,0,1
530,3,905,0,0,48.1,211,0,5
531,1,1099,0,0,10.9,112,0,1
532,3,902,1,1,47.7,57,0,2
533,5,1063,0,1,35.9,341,0,4
534,4,788,0,1,31.8,182,0,1
535,4,987,0,0,36.2,51,0,0
536,5,1227,1,1,15.1,227,0,1
537,2,1050,0,1,40.0,103,1,1
538,3,432,1,0,20.5,61,1,0
539,2,1038,1,0,41.1,100,0,2
540,8,611,0,0,43.1,281,0,3
541,3,668,0,0,27.4,301,2,0
542,4,1022,0,0,28.2,271,1,1
543,5,657,0,1,18.6,426,0,4
544,4,622,0,0,33.4,311,1,0
545,3,899,0,0,13.3,248,0,0
546,3,746,1,1,21.7,152,0,0
547,1,492,0,1,16.7,410,0,0
548,4,1038,0,1,45.5,429,0,2
549,4,1146,0,0,38.1,259,0,1
550,3,1126,0,1,40.1,307,0,2
551,2,675,0,1,41.6,245,2,2
552,5,1002,0,0,15.4,52,0,1
553,1,776,0,1,44.9,124,0,1
554,7,583,0,1,36.0,399,0,2
555,3,713,0,1,18.0,121,2,2
556,4,195,0,1,47.4,379,0,1
557,2,635,1,0,27.5,68,1,1
558,0,533,0,1,24.4,134,0,1
559,4,950,0,0,21.4,224,1,1
560,3,972,0,0,35.7,441,0,1
561,4,477,0,0,28.0,56,1,2
562,3,1106,1,1,16.9,278,0,0
563,1,748,0,1,40.8,435,0,1
564,0,632,0,1,16.3,140,0,1
565,3,452,0,0,25.7,162,1,1
566,2,699,0,0,32.7,395,0,1
567,6,865,1,1,11.9,170,0,1
568,2,1148,0,1,38.1,455,2,1
569,4,873,0,1,12.9,253,0,1
570,3,821,0,1,11.3,418,0,2
571,7,1045,1,1,27.5,165,2,0
572,5,935,1,0,28.7,161,0,0
573,4,523,0,0,22.9,332,0,2
574,1,790,0,1,26.2,156,0,1
575,6,756,1,1,13.3,227,0,0
576,1,862,0,0,34.9,158,0,0
577,2,781,0,1,39.9,224,1,2
578,1,698,0,1,18.4,435,0,1
579,3,1266,0,0,17.2,353,0,2
580,2,888,0,1,11.4,283,0,1
581,1,1019,0,0,28.8,216,0,0
582,0,870,0,1,37.6,444,1,0
583,1,1103,0,1,38.7,464,0,0
584,1,877,0,0,11.3,171,0,0
585,5,1143,0,0,48.8,467,1,1
586,2,182,0,0,49.4,113,1,1
587,6,924,0,1,43.1,378,1,1
588,2,965,0,1,37.5,281,1,3
589,5,976,0,1,24.7,234,0,2
590,2,629,0,1,25.6,98,0,3
591,1,719,0,0,46.3,282,0,2
592,1,639,0,0,21.0,74,0,2
593,2,1021,0,0,45.0,94,0,2
594,3,1126,0,1,16.0,366,0,0
595,2,489,0,1,23.0,387,0,3
596,1,951,0,1,26.9,275,0,0
597,5,683,0,1,34.8,206,0,0
598,5,1336,1,0,39.8,196,1,1
599,2,1040,0,1,15.5,438,1,0
600,1,812,0,1,26.0,123,0,0
601,3,866,0,0,24.9,266,0,1
602,0,1224,1,0,22.1,215,1,1
603,2,914,0,1,28.0,352,0,1
604,6,452,0,1,39.2,355,0,1
605,7,1279,1,0,32.3,188,0,2
606,3,1103,0,0,30.2,190,0,2
607,3,765,0,1,30.7,346,0,3
608,3,1050,0,1,38.5,422,0,0
609,1,746,0,0,32.2,430,0,1
610,3,739,1,1,38.4,137,0,1
611,4,869,1,0,30.1,179,0,2
612,4,1050,0,1,37.7,298,0,1
613,1,1017,0,0,43.9,252,0,1
614,3,1134,0,0,13.1,371,2,0
615,0,1018,1,1,40.1,408,0,2
616,2,1263,1,0,42.6,167,0,1
617,4,1331,0,0,39.9,251,0,0
618,6,975,0,1,19.2,325,0,1
619,3,815,0,1,14.7,120,3,0
620,2,855,0,0,46.7,211,2,1
621,4,418,1,1,23.6,248,1,1
622,2,905,0,0,17.3,238,0,0
623,4,745,0,1,37.0,55,0,2
624,2,723,1,0,44.7,80,0,0
625,6,890,1,1,49.4,467,0,0
626,2,375,1,1,31.7,262,1,2
627,0,855,0,0,45.2,112,1,2
628,5,951,1,1,29.4,221,1,0
629,3,516,0,0,31.6,138,0,3
630,2,1238,0,1,32.7,320,0,1
631,5,1010,0,0,45.0,310,0,0
632,4,1222,0,1,19.6,248,0,1
633,4,1008,0,1,39.9,265,0,2
634,7,990,0,1,23.5,329,0,1
635,2,1280,0,1,13.9,358,1,1
636,2,1228,1,0,49.1,220,0,0
637,5,1385,1,1,47.0,260,0,1
638,4,868,1,0,30.3,303,1,0
639,3,701,0,1,16.2,75,1,2
640,2,610,0,0,44.6,127,0,1
641,4,655,1,0,26.1,338,0,2
642,4,1069,0,0,30.5,140,0,0
643,5,1581,0,1,49.6,365,0,2
644,1,1277,0,1,28.6,152,0,0
645,2,855,1,0,15.9,215,0,0
646,1,1091,0,1,36.6,432,0,1
647,4,761,0,0,32.1,352,0,1
648,1,777,0,1,17.2,338,0,0
649,3,641,0,0,17.5,248,1,0
650,1,658,0,0,46.8,260,1,0
651,2,1038,0,1,11.6,244,0,1
652,5,1270,0,1,34.9,254,0,0
653,4,1160,0,0,41.6,238,0,1
654,3,1264,0,0,24.9,75,0,0
655,3,1095,0,1,15.5,217,2,2
656,5,891,0,0,46.8,124,0,0
657,3,768,0,1,20.4,351,0,0
658,2,1044,0,0,17.2,218,0,1
659,1,480,0,1,12.5,343,0,3
660,2,748,0,1,45.8,375,0,0
661,1,703,0,1,31.6,380,1,0
662,2,1211,0,1,25.6,193,3,0
663,1,555,1,1,40.8,319,0,2
664,3,1132,1,0,31.0,379,0,2
665,3,996,0,0,22.2,56,0,1
666,6,999,0,0,25.5,436,0,2
667,5,783,0,0,40.4,281,1,1
668,6,534,1,0,20.7,127,0,0
669,1,1025,0,0,31.5,193,0,1
670,2,1121,0,1,44.6,465,0,1
671,4,1024,0,0,45.1,438,0,0
672,2,863,0,0,45.8,341,1,1
673,1,615,0,0,40.5,373,0,1
674,4,744,0,1,30.4,344,0,1
675,4,1012,1,1,30.0,214,0,2
676,1,702,0,0,48.3,456,1,1
677,4,659,0,0,40.8,330,1,1
678,3,538,0,0,18.5,177,0,0
679,1,1033,0,0,23.2,455,1,0
680,2,1028,1,1,23.2,452,0,0
681,1,1188,0,1,41.0,443,0,0
682,2,363,0,1,28.6,466,0,0
683,2,1192,0,1,39.2,102,0,1
